동호회명,시도명,시군구명,종목명,소속그룹명,종목분류명,성별구분명,회원수,설립일자
ASSIST,충청북도,충청북도 청주시흥덕구,농구,체육동호인조직,"12세이하부,15세이하부,18세이하부,대학부,실업(일반)",혼성,12,2022-03-17
ASTROHIGH,서울특별시,서울특별시 강동구,배구,체육동호인조직,"12세이하부,15세이하부,18세이하부,대학부,실업(일반)",혼성,28,2023-03-17
ASTROHIGH GANGNAM,서울특별시,서울특별시 서초구,배구,체육동호인조직,"12세이하부,15세이하부,18세이하부,대학부,실업(일반)",혼성,25,2024-02-20
ASTROHIGH SEOUL,서울특별시,서울특별시 중구,배구,체육동호인조직,"12세이하부,15세이하부,18세이하부,대학부,실업(일반)",혼성,57,2023-04-17
ATC(경기),경기도,경기도 화성시,사격,체육동호인조직,"12세이하부,15세이하부,18세이하부,대학부,실업(일반)",혼성,16,2023-06-02
ATC(서울),서울특별시,서울특별시 송파구,사격,체육동호인조직,"12세이하부,15세이하부,18세이하부,대학부,실업(일반)",혼성,49,2023-06-02
ATP,경기도,경기도 군포시,농구,체육동호인조직,"12세이하부,15세이하부,18세이하부,대학부,실업(일반)",혼성,2,2024-02-13
ATP,경기도,경기도 안양시,농구,체육동호인조직,"13세이하부,16세이하부,19세이하부,20세이상부",혼성,1,2020-02-21
ATo,인천광역시,인천광역시 계양구,당구,체육동호인조직,"12세이하부,15세이하부,18세이하부,실업(일반)",혼성,34,2024-03-22
AUBC,경기도,경기도 의왕시,당구,체육동호인조직,"12세이하부,15세이하부,18세이하부,실업(일반)",혼성,1,2024-03-22
AUS,경기도,경기도 화성시,수영,체육동호인조직,"12세이하부,15세이하부,18세이하부,대학부,실업(일반)",혼성,11,2022-10-28
AVENGERS,경상남도,경상남도 창원시성산구,스쿼시,체육동호인조직,"12세이하부,15세이하부,18세이하부,대학부,실업(일반)",혼성,1,2022-10-28
AWESOME,전라북도,전라북도 전주시완산구,농구,체육동호인조직,"12세이하부,15세이하부,18세이하부,대학부,실업(일반)",혼성,14,2022-03-31
AWESOME,제주특별자치도,제주특별자치도 제주시,농구,체육동호인조직,"12세이하부,15세이하부,18세이하부,대학부,실업(일반)",혼성,12,2022-06-07
AXIOM 펜싱 랩,서울특별시,서울특별시 성동구,펜싱,공공스포츠클럽,"13세이하부,16세이하부,19세이하부,20세이상부",혼성,13,2020-10-26
AXIOM 펜싱 랩,서울특별시,서울특별시 성동구,펜싱,체육동호인조직,"12세이하부,15세이하부,18세이하부,대학부,실업(일반)",혼성,8,2022-06-17
AZ클럽,부산광역시,부산광역시 기장군,배드민턴,체육동호인조직,"12세이하부,15세이하부,18세이하부,대학부,실업(일반)",혼성,14,2024-01-15
Able(에이블),대전광역시,대전광역시 중구,당구,체육동호인조직,"12세이하부,15세이하부,18세이하부,실업(일반)",혼성,1,2024-03-22
Ahtty Fild Hockey Club (아띠 필드 하키 클럽),경기도,경기도 성남시,하키,체육동호인조직,"13세이하부,16세이하부,19세이하부,20세이상부",혼성,34,2021-02-02
Aim,서울특별시,서울특별시 강서구,농구,체육동호인조직,"13세이하부,16세이하부,19세이하부,20세이상부",남성,10,2020-01-02
Alex스키,경기도,경기도 김포시,스키,체육동호인조직,"12세이하부,15세이하부,18세이하부,대학부,실업(일반)",혼성,2,2023-02-10
Always Volleyball Club(A.V.C),경기도,경기도 수원시권선구,배구,체육동호인조직,"12세이하부,15세이하부,18세이하부,대학부,실업(일반)",혼성,24,2022-06-22
Ami-Swim,광주광역시,광주광역시 서구,수영,체육동호인조직,"12세이하부,15세이하부,18세이하부,대학부,실업(일반)",혼성,3,2023-05-11
AnE,강원도,강원도 전체,사격,체육동호인조직,"13세이하부,16세이하부,19세이하부,20세이상부",혼성,2,2020-02-05
ArtWheels,서울특별시,서울특별시 전체,롤러,체육동호인조직,"13세이하부,16세이하부,19세이하부,20세이상부",혼성,1,2020-09-22
Assemble,서울특별시,서울특별시 성북구,빙상,체육동호인조직,"12세이하부,15세이하부,18세이하부,대학부,실업(일반)",혼성,1,2022-10-12
Atlas,강원도,강원도 홍천군,당구,체육동호인조직,"12세이하부,15세이하부,18세이하부,실업(일반)",혼성,17,2024-03-22
Ausome,세종특별자치시,세종특별자치시 전체,테니스,체육동호인조직,"13세이하부,16세이하부,19세이하부,20세이상부",남성,7,2020-11-06
Awesome,전라북도,전라북도 전주시 덕진구,농구,체육동호인조직,"13세이하부,16세이하부,19세이하부,20세이상부",혼성,24,2020-01-28
B&K,부산광역시,부산광역시 사상구,당구,체육동호인조직,"12세이하부,15세이하부,18세이하부,실업(일반)",혼성,3,2024-03-27
B&B,강원도,강원도 춘천시,야구소프트볼(야구),체육동호인조직,실업(일반),혼성,2,2023-10-24
B-LAB,인천광역시,인천광역시 연수구,농구,체육동호인조직,"12세이하부,15세이하부,18세이하부,대학부,실업(일반)",혼성,49,2023-01-31
B.F.C.C,경기도,경기도 부천시원미구,당구,체육동호인조직,"12세이하부,15세이하부,18세이하부,실업(일반)",혼성,5,2024-03-22
B.R.O.S,전라북도,전라북도 익산시,농구,체육동호인조직,"13세이하부,16세이하부,19세이하부,20세이상부",혼성,8,2020-01-03
B.S.T,울산광역시,울산광역시 동구,스쿼시,체육동호인조직,"13세이하부,16세이하부,19세이하부,20세이상부",혼성,7,2021-11-26
B.T.Y,서울특별시,서울특별시 전체,빙상,체육동호인조직,"13세이하부,16세이하부,19세이하부,20세이상부",혼성,1,2020-09-28
B.Y,경기도,경기도 수원시권선구,당구,체육동호인조직,"12세이하부,15세이하부,18세이하부,실업(일반)",혼성,12,2024-03-22
B05,제주특별자치도,제주특별자치도 제주시,농구,체육동호인조직,"12세이하부,15세이하부,18세이하부,대학부,실업(일반)",혼성,4,2022-04-01
B2L 비투엘,울산광역시,울산광역시 남구,농구,체육동호인조직,"12세이하부,15세이하부,18세이하부,대학부,실업(일반)",혼성,2,2022-04-13
BALO,부산광역시,부산광역시 서구,족구,체육동호인조직,"12세이하부,15세이하부,18세이하부,대학부,실업(일반)",혼성,1,2024-03-20
BBAK,경기도,경기도 용인시수지구,농구,체육동호인조직,"12세이하부,15세이하부,18세이하부,대학부,실업(일반)",혼성,11,2022-04-13
BB주짓수클럽,광주광역시,광주광역시 남구,주짓수,체육동호인조직,"13세이하부,16세이하부,19세이하부,20세이상부",혼성,1,2020-12-04
BDC,광주광역시,광주광역시 광산구,족구,체육동호인조직,"12세이하부,15세이하부,18세이하부,대학부,실업(일반)",혼성,13,2024-03-28
BEAST ALL STAR CHEERLEADING,서울특별시,서울특별시 서초구,치어리딩,체육동호인조직,"13세이하부,16세이하부,19세이하부,20세이상부",혼성,21,2020-07-14
BEST LIBERO,인천광역시,인천광역시 미추홀구,배구,체육동호인조직,"13세이하부,16세이하부,19세이하부,20세이상부",여성,5,2021-11-01
BF,경상북도,경상북도 안동시,농구,체육동호인조직,"12세이하부,15세이하부,18세이하부,대학부,실업(일반)",혼성,5,2022-04-05
BIG BANG,경기도,경기도 수원시팔달구,수영,체육동호인조직,"12세이하부,15세이하부,18세이하부,대학부,실업(일반)",혼성,1,2023-03-02
BIGS,제주특별자치도,제주특별자치도 서귀포시,수영,체육동호인조직,"12세이하부,15세이하부,18세이하부,대학부,실업(일반)",혼성,34,2023-03-09
BILLOW,부산광역시,부산광역시 동구,농구,체육동호인조직,"12세이하부,15세이하부,18세이하부,대학부,실업(일반)",혼성,12,2022-03-14
BILLOW,부산광역시,부산광역시 북구,농구,체육동호인조직,"13세이하부,16세이하부,19세이하부,20세이상부",남성,15,2021-10-22
BK,대전광역시,대전광역시 유성구,배드민턴,체육동호인조직,"12세이하부,15세이하부,18세이하부,대학부,실업(일반)",혼성,6,2023-05-13
BK,부산광역시,부산광역시 서구,족구,체육동호인조직,"12세이하부,15세이하부,18세이하부,대학부,실업(일반)",혼성,3,2024-03-20
BKA,서울특별시,서울특별시 송파구,배드민턴,체육동호인조직,"12세이하부,15세이하부,18세이하부,대학부,실업(일반)",혼성,1,2024-05-16
