전시실명,전시명,전시시작일자,전시종료일자,전시상태,장소명,주관기관명,작가명,작품명,관람시간,관람정보,전자책URL,전자책명,전시이미지URL,전시이미지명,전시영문명,전시영문내용
1관,Into Drawing 34 드로잉: 하늘에 딩동댕동 손가락비행체들,2017-04-14,2017-04-30,종료,소마미술관 드로잉센터 전시실(제1전시실),국민체육진흥공단 소마미술관,백기은 Kieun Beck,설치 영상 등 10여점,10:00~18:00(입장마감 17:20)매주 월요일 휴관,메인전시 (내가 사는 피부) 관람 시 무료 관람,,,/manage/upload_files/display/2019/01/08/003c21e8-1463-4a3c-964b-5dcc59674a8c.jpg,D2017_인투드로잉34-포스터.pdf_page_1.jpg,Into Drawing 34_Ding Dong Dang Dong Fingerplane,
1관,Into Drawing 33 개가 짖는다,2017-03-17,2017-04-02,종료,소마미술관 드로잉센터 전시실(제1전시실),국립체육진흥공단 소마미술관,박승예 Seungyea Park,"드로잉, 회화, 설치, 영상 등 20여점",10:00~18:00(입장마감 17:20)매주 월요일 휴관,메인전시 (내가 사는 피부) 관람 시 무료 관람,,,/manage/upload_files/display/2019/01/08/c6a4be52-7f85-4a40-a028-ee0b6a731905.jpg,D2017_인투드로잉33-포스터.pdf_page_1.jpg,Into Drawing 33_Dogs are Barking,
1관,내가 사는 피부,2017-03-17,2017-04-30,종료,"소마미술관 제2~5전시실, 비디오아트홀, 세미나실",국민체육진흥공단 소마미술관,"노상균, 김일용, 한효석, 강우영, 조혜진, 김  준,오를랑, 김성수, 장  숙, 김윤경, 정지필, 이원석,배찬효, 도로시 M 윤, 최영민, 정혜경, 이혜림, 조영각","회화, 조각, 사진, 설치, 영상 등 총 99점","10:00~18:00(입장마감 17:20)문화가 있는 날(매월 마지막 주 수요일) 야간 연장 개관(10:00~21:00, 입장마감 20:20)매주 월요일 휴관",메인 전시(어느 곳도 아닌 이곳) 관람 시 무료 관람 문화가 있는 날 전체 관람객 무료입장,,,/manage/upload_files/display/2019/01/15/d10454fc-1124-4733-b974-dedd66f3915c.jpg,내가 사는 피부.jpg,La Piel Que Habito,
1관,동작의 전환,2016-12-23,2017-02-26,종료,소마미술관 1~5전시실,국민체육진흥공단 소마미술관,"최상철, 최선 총 2명","회화, 조각, 설치, 영상 작품 60여 점","10:00~18:00(입장마감 17:20)문화가 있는 날(매월 마지막 주 수요일) 야간 연장 개관(10:00~21:00, 입장마감 20:20)매주 월요일 및 1월 1일, 설날 당일 휴관","성인 3,000원, 청소년(13~24세) 2,000원, 어린이 1,000원성인 1,500원, 청소년(13~24세) 1,000원, 어린이 500원문화가 있는 날 전체 관람객 무료입장",,,/manage/upload_files/display/2019/01/15/3acdef1d-c88f-46ed-b094-fc7375449c2e.jpg,동작의 전환.jpg,Transition of MOVEMENT,
1관,Into Drawing 32 원더 풀 라이프,2016-11-04,2016-11-20,종료,소마드로잉센터 전시실(제1전시실),국민체육진흥공단 소마미술관,김제민 Jeimin Kim,"드로잉, 회화, 설치, 영상 등 30여점",10:00~18:00(입장마감 17:20)매주 월요일 휴관,메인전시 (어느 곳도 아닌 이곳) 관람 시 무료 관람,,,/manage/upload_files/display/2019/01/09/62cd1613-633a-4769-ada8-816b870f0b57.jpg,인투드로잉 32-포스터-최종.pdf_page_1.jpg,Into Drawing 32_Wonder-Pul Life,
1관,Into Drawing 31 낮은 물음,2016-10-07,2016-10-23,종료,소마드로잉센터 전시실(제1전시실),국민체육진흥공단 소마미술관,박명미 Myungmi Park,"드로잉, 오브제, 회화, 설치, 영상 등 10여점","10:00~18:00(입장마감 17:20)문화가 있는 날(매월 마지막 주 수요일 및 금요일) 야간 연장 개관(10:00~21:00, 입장마감 20:20)문화의 달(2016년 9월 23일 ~ 10월 30일) 기존과 운영시간 동일매주 월요일 휴관",메인 전시(어느 곳도 아닌 이곳) 관람 시 무료 관람문화가 있는 날 전체 관람객 무료입장문화의 달 전체 관람객 무료입장,,,/manage/upload_files/display/2019/01/09/6126414e-bbf5-47d8-8c86-457df1b11f01.jpg,인투드로잉 31-포스터-최종.pdf_page_1.jpg,Into Drawing 31_The Low Question,
1관,Into Drawing 30 플루이드 네온,2016-09-09,2016-09-25,종료,소마드로잉센터 전시실(제1전시실),국민체육진흥공단 소마미술관,장파 Jang Pa,회화 작품 6여점,"10:00~18:00(입장마감 17:20)문화가 있는 날(매월 마지막 주 수요일 및 금요일) 야간 연장 개관(10:00~21:00, 입장마감 20:20)문화의 달(2016년 9월 23일 ~ 10월 30일) 기존과 운영시간 동일매주 월요일 및 추석 당일 휴관",메인 전시(어느 곳도 아닌 이곳) 관람 시 무료 관람문화가 있는 날 전체 관람객 무료입장문화의 달 전체 관람객 무료입장,,,/manage/upload_files/display/2019/01/07/63bb3cdd-a0c7-48ef-bc80-3a916dec01ec.jpg,D2016_인투드로잉 30-포스터.pdf_page_1.jpg,Into Drawing 30_Fluid Neon,
1관,어느 곳도 아닌 이 곳,2016-09-09,2016-12-11,종료,소마미술관 2F 전시실,국민체육진흥공단 소마미술관,"김기성, 김용관, 김지은, 박여주, 박혜수, 천대광, 카입, 한경우 등 총 8명",공간 설치 작품 8점,"10:00~18:00(입장마감 17:20)문화가 있는 날(매월 마지막 주 수요일 및 금요일) 야간 연장 개관(10:00~21:00, 입장마감 20:20)문화의 달(2016년 9월 23일 ~ 10월 30일) 기존과 운영시간 동일매주 월요일 및 추석 당일 휴관","성인 3,000원, 청소년(13~24세) 2,000원, 어린이 1,000원성인 1,500원, 청소년(13~24세) 1,000원, 어린이 500원문화가 있는 날 전체 관람객 무료입장문화의 달 전체 관람객 무료입장",,,/manage/upload_files/display/2019/01/07/87dc148c-4afd-4158-b915-98e4bcf3021a.jpg,2016_어느곳도아닌이곳_포스터.pdf_page_1.jpg,SOME WHERE NO WHERE,
1관,프리다 칼로-절망에서 피어난 천재 화가,2015-06-06,2015-09-04,종료,소마미술관 1~5 전시실,"조선일보, 국민체육진흥공단, 소마미술관, 피아룩스, 한솔BBK","프리다 칼로, 디에고 리베라 등 총 12명","회화, 드로잉, 사진, 장신구 등 총 100여점",,,,,/manage/upload_files/display/2019/01/08/d005f23a-037a-4707-b3be-587293ba5122.jpg,2015_프리다칼로_포스터.jpg,FRIDA KAHLO,
1관,"그다음 몸_담론, 실천, 재현으로서의 예술",2016-06-10,2016-08-28,종료,소마미술관 전관,국민체육진흥공단 소마미술관,"김무영, 김옥선, 김인배, 김월식, 노승복, 니키리,박보나, 박진아, 백남준, 안은미, 오석근, 유목연,이병호, 이우성, 차학경 총 15명","회화, 조각, 사진, 설치, 영상, 퍼포먼스 등 총 100여점","10:00~18:00(입장마감 17:20)문화가 있는 날(매월 마지막 주 수요일 및 금요일) 야간 연장 개관(10:00~21:00, 입장마감 20:20)매주 월요일 휴관","성인 3,000원, 청소년(13~24세) 2,000원, 어린이 1,000원성인 1,500원, 청소년(13~24세) 1,000원, 어린이 500원문화가 있는 날 전체 관람객 무료입장",,,/manage/upload_files/display/2019/01/15/4321df71-3721-4ce6-997d-08bcc56a3088.jpg,"그 다음 몸_담론, 실천, 재현으로서의 예술.jpg",BODY MATTERS,
